,지역,상호,주소,상표,전화번호,셀프여부,고급휘발유,휘발유,경유,실내등유
10,서울특별시,신방주유소,서울 성북구 안암로 111 (안암동5가),S-OIL,02-922-5151,N,-,1619,1519,-
11,서울특별시,㈜명연에너지 효성주유소,서울 성북구 화랑로 27,GS칼텍스,02-942-5150,Y,1895,1625,1555,-
12,서울특별시,장위주유소,서울 성북구 화랑로 110 (하월곡동),S-OIL,02-6498-5189,Y,-,1625,1515,-
13,서울특별시,HD현대오일뱅크㈜직영 고대셀프주유소,서울 성북구 종암로 12 (종암동),HD현대오일뱅크,02-912-5151,Y,1860,1625,1525,-
14,서울특별시,HD현대오일뱅크㈜직영 북악셀프주유소,서울 성북구 정릉로 218 (정릉동),HD현대오일뱅크,02-911-5189,Y,2267,1627,1525,-
15,서울특별시,재정제2주유소 길음지점,서울 성북구 삼양로 78 (길음동),HD현대오일뱅크,02-980-1311,N,-,1629,1539,1450
16,서울특별시,SK에너지(주) 드림랜드주유소,서울 성북구 월계로 128 (장위동),SK에너지,02-916-9906,N,1869,1635,1535,1520
17,서울특별시,(주)신용 구도일주유소화랑로,서울 성북구 화랑로 174,S-OIL,02-963-0051,Y,1883,1653,1543,1450
18,서울특별시,HD현대오일뱅크㈜직영 아리랑주유소,서울 성북구 아리랑로 96 (정릉동),HD현대오일뱅크,02-941-5189,N,1865,1680,1599,-
19,서울특별시,동일주유소,서울특별시 성북구  보문로 85 (보문동5가),S-OIL,02-923-8484,Y,1985,1685,1598,-
20,서울특별시,지에스칼텍스㈜ 화랑주유소,서울 성북구 화랑로 185,GS칼텍스,02-942-5152,N,-,1694,1649,1471
21,서울특별시,삼선주유소,서울 성북구 창경궁로 324,S-OIL,02-766-5105,Y,1997,1739,1565,-
22,서울특별시,지에스칼텍스㈜ 세창주유소,서울 성북구 동소문로 323,GS칼텍스,02-988-2491,Y,2070,1814,1714,1441
0,서울특별시,대양주유소,서울 중랑구 봉우재로 105 (상봉동),GS칼텍스,02-437-5457,Y,1820,1597,1497,1600
1,서울특별시,대원주유소,서울 중랑구 동일로 600,GS칼텍스,02-438-6111,Y,1820,1597,1497,1600
2,서울특별시,(주)자연에너지 대창주유소,서울 중랑구 동일로 636 (면목동),HD현대오일뱅크,02-434-1448,Y,1820,1597,1497,-
3,서울특별시,우림주유소,서울 중랑구 용마산로 487 (망우제3동),GS칼텍스,02-433-9990,Y,-,1597,1497,-
4,서울특별시,구도일주유소 동천,서울 중랑구 동일로 654 (면목동),S-OIL,02-495-0081,Y,-,1597,1497,-
5,서울특별시,면목SELF주유소,서울 중랑구 동일로 627 (면목동),SK에너지,02-437-4072,Y,-,1597,1497,-
6,서울특별시,오천만주유소,서울 중랑구 동일로 547 (면목동),S-OIL,070-7797-7474,Y,-,1597,1497,-
7,서울특별시,(주)기지에너지,서울 중랑구 용마산로 716 (신내동),S-OIL,02-2207-9419,N,-,1639,1539,1450
8,서울특별시,(주)태영 구도일주유소 한인,서울 중랑구 망우로 170 (상봉동),S-OIL,02-438-5151,Y,1845,1645,1545,-
9,서울특별시,신내주유소,서울 중랑구 용마산로 705 (신내동),SK에너지,02-2207-0523,Y,-,1652,1553,1450
10,서울특별시,신일셀프주유소,서울 중랑구 상봉로 58 (망우동),SK에너지,02-436-3651,Y,-,1659,1568,1590
11,서울특별시,용마로주유소,서울 중랑구 용마산로 309 (면목동),SK에너지,02-439-3037,Y,-,1678,1558,1600
12,서울특별시,범아주유소,서울 중랑구 동일로 881 (묵동),S-OIL,02-974-8356,N,-,1698,1598,1600
0,서울특별시,HD현대오일뱅크㈜직영 한남동주유소,서울 용산구 한남대로 204 (한남동),HD현대오일뱅크,02-795-0802,N,2198,1889,1769,-
1,서울특별시,(주)영원 풍기주유소,서울 용산구 원효로 178 (원효로2가),GS칼텍스,02-719-2202,N,2290,2020,1936,1750
2,서울특별시,(주)신태성주유소,서울 용산구 원효로 147 (원효로3가),SK에너지,02-701-9447,N,2347,2134,1988,1605
3,서울특별시,HD현대오일뱅크㈜직영 갈월동주유소,서울특별시 용산구  한강대로 322 (남영동),HD현대오일뱅크,02-754-5217,N,2366,2140,1992,1579
4,서울특별시,동자동주유소,서울 용산구 한강대로104길 6 (동자동),SK에너지,02-754-6667,N,2360,2140,1992,1750
5,서울특별시,HD현대오일뱅크㈜직영 강변현대주유소,서울 용산구 원효로 9 (청암동),HD현대오일뱅크,02-712-7124,N,2373,2144,2061,-
6,서울특별시,HD현대오일뱅크(주)직영 소월길주유소,서울 용산구 소월로 66 (후암동),HD현대오일뱅크,02-318-3314,N,2327,2144,1991,-
7,서울특별시,(주)남경주유소,서울 용산구 녹사평대로11길 24,SK에너지,02-793-2954,N,2398,2179,2048,1701
8,서울특별시,한남지점,서울 용산구 한남대로21길 4 (한남동),SK에너지,070-8707-4586,N,2467,2267,2167,-
9,서울특별시,에너비스,서울 용산구 한남대로 82 (한남동),SK에너지,070-8707-4572,N,2467,2267,2167,-
10,서울특별시,한석주유소,서울 용산구 이촌로 164,SK에너지,02-790-1020,N,2529,2295,2162,-
11,서울특별시,서계주유소,서울 용산구  청파로 367 (청파동),GS칼텍스,02-706-6485,N,3109,2699,2729,2370
0,서울특별시,(주)석산에너지,서울 강북구 삼양로 316 (수유동),HD현대오일뱅크,02-980-1448,Y,-,1590,1495,1400
1,서울특별시,(주)서울에너지 시민주유소,서울 강북구 인수봉로 185 (수유동),HD현대오일뱅크,02-907-9496,Y,1819,1590,1495,-
2,서울특별시,수유동주유소,서울 강북구 도봉로 395 (수유동),GS칼텍스,02-902-9470,Y,-,1590,1495,-
3,서울특별시,북서울고속주유소,서울 강북구 삼양로 410 (수유동),SK에너지,02-907-5182,Y,1819,1590,1495,-
4,서울특별시,SK에너지(주) 매일주유소,서울 강북구 삼양로 217 (미아동),SK에너지,02-982-8855,Y,-,1599,1514,-
5,서울특별시,덕릉로주유소,서울 강북구 덕릉로 158 (번동),S-OIL,02-989-9806,Y,-,1625,1525,-
6,서울특별시,㈜지에스이앤알 미아주유소,서울 강북구 도봉로 122 (미아동),GS칼텍스,02-987-5152,Y,1899,1625,1525,-
7,서울특별시,씨앤에스유통㈜ 미아셀프주유소,서울 강북구 도봉로 200 (미아동),S-OIL,02-945-7999,Y,-,1625,1525,-
8,서울특별시,HD현대오일뱅크㈜직영 번동셀프주유소,서울 강북구 한천로 963 (번동),HD현대오일뱅크,02-992-3331,Y,1879,1627,1537,-
9,서울특별시,대성석유(주)신광주유소,서울 강북구 삼양로 484,GS칼텍스,02-908-3320,N,-,1629,1539,1450
10,서울특별시,에덴주유소,서울 강북구 월계로 195 (번동),SK에너지,02-987-8182,Y,-,1645,1545,-
11,서울특별시,세원주유소,서울 강북구 한천로 918 (번동),SK에너지,02-907-6890,Y,-,1648,1548,-
0,서울특별시,(주)디오티디 은평유니콘주유소,서울 은평구 통일로 1151 (진관동),HD현대오일뱅크,02-356-9051,N,1774,1579,1479,1484
1,서울특별시,타이거주유소,서울 은평구 수색로 188 (증산동),SK에너지,02-309-9145,Y,-,1594,1494,1600
2,서울특별시,㈜오일닷컴 다회주유소,서울 은평구 증산로 441,S-OIL,02-375-5156,Y,-,1594,1524,-
3,서울특별시,지에스칼텍스㈜ 신사제일주유소,서울 은평구 증산로 423 (신사동),GS칼텍스,02-308-4333,Y,1849,1599,1549,1449
4,서울특별시,지에스칼텍스(주)수색뉴타운주유소,서울 은평구 수색로 350 (수색동),GS칼텍스,02-309-5051,Y,1849,1599,1514,-
5,서울특별시,불광주유소,서울 은평구 연서로 314 (불광동),HD현대오일뱅크,02-382-5149,Y,1828,1608,1528,-
6,서울특별시,지에스칼텍스㈜ 서부주유소,서울 은평구 응암로 210 (응암동),GS칼텍스,02-302-6041,Y,1874,1614,1564,1467
7,서울특별시,(주)명연에너지 수색훼미리주유소,서울 은평구 수색로 236 (수색동),HD현대오일뱅크,02-374-8770,Y,-,1615,1515,-
8,서울특별시,응암주유소,서울 은평구 응암로 163,HD현대오일뱅크,02-303-1448,Y,1884,1624,1574,-
9,서울특별시,대성산업㈜ 대성주유소,서울 은평구 통일로 642,GS칼텍스,02-355-3434,Y,1828,1628,1538,-
10,서울특별시,성원이앤에스(주)은평지점,서울 은평구 통일로 968 (진관동),GS칼텍스,02-352-4451,Y,1882,1647,1557,-
11,서울특별시,박석고개주유소,서울 은평구 통일로 945 (갈현동),SK에너지,02-388-0477,Y,-,1647,1557,-
12,서울특별시,은평뉴타운주유소,서울 은평구 통일로 924 (불광동),SK에너지,02-355-0349,Y,-,1647,1557,1484
13,서울특별시,뉴타운셀프주유소,서울 은평구 통일로 1031,S-OIL,02-355-3055,Y,-,1655,1575,-
14,서울특별시,코끼리주유소,서울 은평구 서오릉로 41 (녹번동),자가상표,02-384-4000,N,-,1698,1618,-
0,서울특별시,재건에너지 재정제2주유소 고속셀프지점,서울특별시 강동구  천호대로 1246 (둔촌제2동),HD현대오일뱅크,02-487-2030,Y,-,1629,1529,-
1,서울특별시,구천면주유소,서울 강동구 구천면로 357 (암사동),HD현대오일뱅크,02-441-0536,N,-,1654,1565,-
2,서울특별시,방아다리주유소,서울 강동구 동남로 811 (명일동),SK에너지,02-442-5145,Y,-,1665,1575,-
3,서울특별시,(주)소모 신월주유소,서울 강동구 양재대로 1323 (성내동),GS칼텍스,02-6956-6674,Y,1896,1686,1588,1590
4,서울특별시,(주)삼표에너지 고덕주유소,서울 강동구 고덕로 39 (암사동),GS칼텍스,02-441-3327,Y,1895,1695,1595,1599
5,서울특별시,대성석유(주)길동주유소,서울 강동구 천호대로 1168,GS칼텍스,02-474-7222,N,1895,1696,1598,1500
6,서울특별시,sk해뜨는주유소,서울 강동구  상일로 132 (강일동),SK에너지,02-442-7801,Y,1929,1699,1609,1600
7,서울특별시,주)지유에너지직영 오렌지주유소,서울 강동구 성안로 102 (성내동),SK에너지,02-484-6165,N,1894,1734,1634,-
8,서울특별시,(주)퍼스트오일 코알라주유소,서울특별시 강동구  올림픽로 556 (성내동),S-OIL,02-484-1162,Y,-,1750,1650,-
9,서울특별시,(주)소모 성내주유소,서울 강동구 올림픽로 578 (성내동),GS칼텍스,02-479-3838,Y,-,1768,1668,-
10,서울특별시,지에스칼텍스㈜ 동서울주유소,서울 강동구 천호대로 1456 (상일동),GS칼텍스,02-426-5372,Y,1969,1799,1729,-
11,서울특별시,천호현대주유소,서울 강동구 천중로 67 (천호동),HD현대오일뱅크,02-484-9323,N,-,1843,1743,-
12,서울특별시,광성주유소,서울 강동구 올림픽로 673 (천호동),S-OIL,02-470-5133,N,-,1968,1858,1800
0,서울특별시,한강에너지(주)퍼스트주유소,서울 송파구 삼학사로 22 (석촌동),SK에너지,02-422-2834,Y,1813,1623,1533,-
1,서울특별시,지에스칼텍스(주)가든파이브주유소,서울 송파구 탄천동로 740,GS칼텍스,02-409-5145,Y,1833,1633,1543,-
2,서울특별시,지에스칼텍스(주)스마트위례주유소,서울 송파구 위례중앙로 43 (장지동),GS칼텍스,02-409-5185,Y,1833,1633,1543,-
3,서울특별시,위례드림주유소,서울시 송파구  위례중앙로 10,S-OIL,02-404-5189,Y,1823,1633,1543,-
4,서울특별시,상아주유소,서울 송파구 거마로 82,S-OIL,02-409-8251,Y,-,1633,1543,1500
5,서울특별시,위례제일주유소 (주)버드에너지,서울 송파구 위례서로 260,S-OIL,02-408-9951,Y,-,1633,1543,-
6,서울특별시,남성대주유소,서울 송파구 송파대로 52 (장지동),SK에너지,02-409-2211,Y,-,1633,1543,-
7,서울특별시,(주)삼표에너지 아시아주유소,서울 송파구 도곡로 438 (잠실동),GS칼텍스,02-416-1911,Y,1843,1643,1553,-
8,서울특별시,삼화주유소,서울 송파구 백제고분로 125,GS칼텍스,02-2203-2280,Y,1833,1643,1553,-
9,서울특별시,HD현대오일뱅크㈜직영 잠실셀프주유소,서울 송파구 송파대로 397 (석촌동),HD현대오일뱅크,02-417-7111,Y,1823,1653,1553,1560
10,서울특별시,지에스이앤알 직영 송파제일주유소,서울 송파구 삼학사로 50 (석촌동),HD현대오일뱅크,02-424-2900,Y,-,1655,1543,-
11,서울특별시,대성주유소,서울 송파구 마천로 230 (마천동),SK에너지,02-431-1991,N,-,1668,1578,1500
12,서울특별시,(주)신화에너지 서울지점,서울 송파구 가락로 47 (석촌동),SK에너지,02-2202-8484,Y,-,1669,1568,-
13,서울특별시,(주)삼표에너지 훼미리주유소,서울 송파구 중대로 58 (문정동),GS칼텍스,02-448-9252,N,1874,1677,1577,1621
14,서울특별시,(주)유진주유소,서울 송파구 동남로 325 (오금동),SK에너지,02-406-3956,N,-,1682,1592,-
15,서울특별시,제트라인DM주유소,서울 송파구 중대로 183 (가락동),HD현대오일뱅크,02-430-5151,N,-,1682,1595,-
16,서울특별시,방이주유소,서울 송파구 위례성대로12길 38 (방이동),SK에너지,02-424-3051,N,-,1683,1593,-
17,서울특별시,(주)잠실에너지,서울 송파구 송파대로 442 (송파동),S-OIL,02-414-5010,Y,1863,1683,1593,-
18,서울특별시,백제고분로주유소,서울 송파구 오금로 143 (방이동),SK에너지,02-2202-4050,Y,1863,1683,1593,-
19,서울특별시,완불주유소,서울 송파구 송파대로 3 (장지동),SK에너지,02-3402-2900,Y,1902,1686,1608,-
20,서울특별시,(주)삼표에너지 우리주유소,서울 송파구 동남로 153,GS칼텍스,02-3401-1588,Y,1875,1687,1597,1600
21,서울특별시,송파주유소,서울 송파구 송이로 28 (송파동),GS칼텍스,02-2203-3737,Y,-,1695,1595,1600
22,서울특별시,(유)호림플러스홀딩스 남성주유소,서울 송파구 백제고분로 474 (방이동),HD현대오일뱅크,02-423-5128,N,-,1697,1597,-
23,서울특별시,대성석유(주)석촌주유소,서울 송파구 백제고분로 289,GS칼텍스,02-421-0051,N,1898,1697,1597,1500
24,서울특별시,(주)정직한주유소,서울 송파구 오금로 455 (거여동),HD현대오일뱅크,02-406-4634,Y,-,1697,1607,-
25,서울특별시,(주)퍼스트오일서울주유소,서울 송파구 문정로 153,S-OIL,02-407-0708,N,-,1710,1630,1550
26,서울특별시,HD현대오일뱅크㈜직영 올림픽셀프주유소,서울 송파구 위례성대로 188 (오금동),HD현대오일뱅크,02-448-9804,Y,1819,1718,1628,-
27,서울특별시,대신석유(주)진양주유소,서울 송파구 올림픽로 499 (풍납동),SK에너지,02-477-1906,N,1998,1898,1798,-
0,서울특별시,(주)타이거오일 신정주유소,서울 양천구 중앙로 226 (신정동),SK에너지,02-2646-6212,Y,-,1574,1484,-
1,서울특별시,신월주유소,서울 양천구 신월로 193 (신월동),GS칼텍스,02-2603-5182,Y,-,1574,1474,1600
2,서울특별시,플라트(주)서호주유소,서울 양천구 남부순환로 317,GS칼텍스,02-2602-5172,Y,1928,1574,1474,1560
3,서울특별시,현대주유소,서울 양천구 남부순환로 372 (신월동),S-OIL,02-2608-9231,Y,-,1579,1479,-
4,서울특별시,가로공원주유소,서울 양천구 가로공원로 165 (신월동),SK에너지,02-2695-3423,N,-,1579,1479,-
5,서울특별시,형산석유(주)원주유소,서울 양천구 남부순환로 408,HD현대오일뱅크,02-2690-5837,N,-,1595,1493,-
6,서울특별시,개나리Self주유소,서울 양천구 남부순환로 442 (신월동),SK에너지,02-2606-5189,Y,-,1595,1493,-
7,서울특별시,양천구주유소,서울 양천구 국회대로 275 (목동),알뜰주유소,02-2644-5105,Y,-,1619,1519,-
8,서울특별시,현대오일뱅크(주)직영 양천셀프주유소,서울 양천구 목동로 17,HD현대오일뱅크,02-2644-5185,Y,1838,1634,1565,-
9,서울특별시,HD현대오일뱅크㈜직영 남부순환셀프주유소,서울 양천구 남부순환로 553 (신월동),HD현대오일뱅크,02-2690-5001,Y,1848,1644,1549,-
10,서울특별시,목동주유소,서울 양천구 목동중앙로 125 (목동),SK에너지,02-2645-5104,Y,-,1648,1564,-
11,서울특별시,SK에너지(주) 신평,서울 양천구 목동남로 62,SK에너지,02-2654-5145,N,1850,1649,1570,1570
12,서울특별시,SK에너지(주) 경인주유소,서울 양천구 국회대로 170 (신정동),SK에너지,02-2693-4994,Y,-,1649,1594,1560
13,서울특별시,현대오일뱅크(주)직영 양정주유소,서울 양천구 국회대로 158 (신정동),HD현대오일뱅크,02-2691-5185,N,-,1649,1564,-
14,서울특별시,지에스이앤알 직영 서울주유소,서울 양천구 신정로 236 (신정동),GS칼텍스,02-2607-9478,Y,-,1655,1547,-
15,서울특별시,신정동주유소,서울 양천구 안양천로 663 (신정동),HD현대오일뱅크,02-2651-5189,Y,-,1667,1557,-
16,서울특별시,(주)삼표에너지 목동주유소,서울 양천구 목동서로 129 (목동),GS칼텍스,02-2654-5153,Y,1835,1669,1574,-
17,서울특별시,현대오일뱅크(주)직영 양천현대셀프주유소,서울 양천구 안양천로 1179 (목동),HD현대오일뱅크,02-2653-5189,Y,1869,1669,1574,-
18,서울특별시,현대오일뱅크㈜직영 목동셀프주유소,서울 양천구 공항대로 648 (목동),HD현대오일뱅크,02-2648-4204,Y,-,1669,1574,-
19,서울특별시,지에스칼텍스㈜ 건지주유소,서울 양천구 안양천로 1171 (목동),GS칼텍스,02-2644-5108,Y,1869,1669,1574,1580
20,서울특별시,(주)서부트럭터미날,서울 양천구 신정로 167 (신정동),HD현대오일뱅크,02-2614-0047,N,-,1689,1599,1500
21,서울특별시,삼미상사(주)신월IC셀프주유소,서울 양천구 중앙로 331 (신월동),SK에너지,02-2694-4966,Y,-,1699,1599,-
22,서울특별시,현대오일뱅크(주)직영 신목동셀프주유소,서울 양천구 목동동로10길 13,HD현대오일뱅크,02-2642-5188,Y,1989,1699,1681,-
23,서울특별시,신양주유소,서울 양천구 지양로 67,SK에너지,02-2608-3312,N,-,1745,1643,1710
0,서울특별시,HD현대오일뱅크㈜직영 재동주유소,서울 종로구 율곡로 58 (경운동),HD현대오일뱅크,02-732-3968,Y,1999,1649,1579,-
1,서울특별시,㈜지에스이앤알 평창주유소,서울 종로구 평창문화로 135 (평창동),HD현대오일뱅크,02-391-5185,Y,1999,1759,1699,-
2,서울특별시,안풍주유소,서울 종로구 자하문로 303,S-OIL,02-396-5151,N,1989,1769,1689,-
3,서울특별시,자하문주유소,서울 종로구 자하문로 248 (부암동),SK에너지,02-396-5252,Y,1989,1769,1689,-
4,서울특별시,구도일주유소특종,서울 종로구 평창문화로 90 (평창동),S-OIL,02-379-6524,N,1990,1790,1690,1600
5,서울특별시,SK북악주유소,서울 종로구 평창문화로 137,SK에너지,02-395-6500,N,2398,2198,2098,-
6,서울특별시,(주)중앙에너비스 혜화주유소,서울 종로구 창경궁로35길 1,SK에너지,070-8707-4564,N,2467,2267,2167,1750
7,서울특별시,경복궁주유소,서울 종로구 율곡로 6 (중학동),GS칼텍스,02-6016-6981,N,2490,2290,2180,-
8,서울특별시,(주)대양씨앤씨 사직주유소,서울 종로구 사직로 65 (사직동),GS칼텍스,02-735-4858,N,2495,2295,2185,1800
0,서울특별시,지에스칼텍스(주) 대방주유소,서울 동작구 여의대방로 214,GS칼텍스,02-826-5145,N,1854,1654,1554,1400
1,서울특별시,창원이엔지주유소,서울 동작구 사당로 59 (상도동),HD현대오일뱅크,02-825-5151,Y,-,1655,1575,-
2,서울특별시,지에스칼텍스㈜직영 남성주유소,서울 동작구 동작대로 135 (사당동),GS칼텍스,02-532-0606,Y,1884,1684,1619,-
3,서울특별시,HD현대오일뱅크㈜직영 사당셀프주유소,서울 동작구 동작대로 73 (사당동),HD현대오일뱅크,02-521-3618,Y,1989,1684,1619,-
4,서울특별시,HD현대오일뱅크㈜직영 흑석동셀프주유소,서울 동작구 현충로 101 (흑석동),HD현대오일뱅크,02-815-0724,Y,1849,1689,1629,-
5,서울특별시,HD현대오일뱅크㈜직영 신대방셀프주유소,서울 동작구 시흥대로 616 (신대방동),HD현대오일뱅크,02-832-7926,Y,1829,1689,1574,-
6,서울특별시,매일주유소,서울 동작구 상도로 139 (상도동),S-OIL,02-817-4085,Y,-,1699,1659,1650
7,서울특별시,HD현대오일뱅크㈜직영 동작주유소,서울 동작구 상도로 403 (상도동),HD현대오일뱅크,02-817-9179,N,1859,1699,1639,-
8,서울특별시,살피재주유소,서울 동작구 상도로 334,SK에너지,02-817-2559,N,-,1785,1695,-
0,서울특별시,(주)보성 세곡주유소,서울 강남구  헌릉로 731 (세곡동),SK에너지,02-445-6870,Y,-,1639,1553,-
1,서울특별시,HD현대오일뱅크㈜직영 산성셀프주유소,서울 강남구 헌릉로 730,HD현대오일뱅크,02-2226-4963,Y,1859,1655,1565,-
2,서울특별시,방죽주유소,서울 강남구 밤고개로 215 (율현동),GS칼텍스,02-459-3434,Y,-,1687,1589,-
3,서울특별시,오일프러스 셀프,서울 강남구 남부순환로 2651 (도곡동),SK에너지,02-3462-5100,Y,1855,1688,1595,-
4,서울특별시,HD현대오일뱅크㈜직영 도곡셀프주유소,서울 강남구  남부순환로 2718 (도곡2동),HD현대오일뱅크,02-529-5101,Y,1804,1689,1589,-
5,서울특별시,자곡셀프주유소,서울 강남구 밤고개로 120 (자곡동),SK에너지,02-445-5841,Y,-,1698,1597,-
6,서울특별시,일원주유소,서울 강남구 양재대로55길 3 (일원동),S-OIL,02-2226-5188,Y,-,1698,1597,-
7,서울특별시,HD현대오일뱅크㈜직영 유진주유소,서울 강남구 논현로 152 (도곡동),HD현대오일뱅크,02-3462-5215,N,1819,1699,1604,1570
8,서울특별시,극동유화㈜ 개나리주유소,서울 강남구 언주로 423 (역삼동),S-OIL,02-564-0186,Y,1875,1708,1595,-
9,서울특별시,삼성동주유소,서울 강남구 테헤란로 619 (삼성동),HD현대오일뱅크,02-508-6572,Y,1935,1725,1625,-
10,서울특별시,(주)중앙에너비스 수서지점,서울 강남구 광평로 202 (수서동),SK에너지,070-8707-4582,Y,1987,1727,1627,-
11,서울특별시,SK서광주유소,서울 강남구 역삼로 142,SK에너지,02-562-4855,Y,1890,1735,1615,-
12,서울특별시,대교셀프주유소,서울 강남구 강남대로 640 (신사동),SK에너지,02-512-5521,Y,1990,1740,1680,-
13,서울특별시,SK에너지㈜ 진달래주유소,서울 강남구 도곡로 208,SK에너지,02-3462-0018,N,1889,1749,1645,-
14,서울특별시,(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),S-OIL,02-2058-3024,N,1890,1759,1659,-
15,서울특별시,지에스칼텍스㈜에너지플러스허브GS타워,서울 강남구 논현로 516 (역삼동),GS칼텍스,02-539-5145,Y,1984,1784,1744,-
16,서울특별시,(유)동하석유 힐탑셀프주유소,서울 강남구 논현로 640,SK에너지,02-544-4075,Y,1997,1797,1727,-
17,서울특별시,대동석유 압구정주유소,서울 강남구 언주로 842 (신사동),SK에너지,02-545-6161,Y,2027,1797,1737,-
18,서울특별시,세진에너지(주) 개포주유소,서울 강남구 양재대로 339,GS칼텍스,02-573-9031,Y,2255,1888,1728,1650
19,서울특별시,지에스칼텍스㈜ 삼성로주유소,서울 강남구 삼성로 563 (삼성동),GS칼텍스,02-538-5138,Y,2119,1939,1899,-
20,서울특별시,HD현대오일뱅크㈜직영 신사현대주유소,서울 강남구 도산대로 163 (신사동),HD현대오일뱅크,02-546-2182,N,2265,1948,1884,-
21,서울특별시,지에스칼텍스㈜ 은마주유소,서울 강남구 영동대로 235,GS칼텍스,02-3452-1882,N,2134,1954,1919,-
22,서울특별시,대성석유(주)동호주유소,서울 강남구 봉은사로113길 51,GS칼텍스,02-545-0720,N,2141,2049,1942,-
23,서울특별시,지에스칼텍스(주)학여울주유소,서울 강남구 남부순환로 3170 (일원2동),GS칼텍스,02-459-8829,N,2299,2089,2015,-
24,서울특별시,HD현대오일뱅크㈜직영 한양주유소,서울 강남구 압구정로 302 (신사동),HD현대오일뱅크,02-3444-0804,N,2375,2173,2096,-
25,서울특별시,명품주유소,서울 강남구 도곡로 249 (역삼동),S-OIL,02-501-1256,Y,2297,2178,2067,-
26,서울특별시,(주)소모 쎈트럴주유소,서울 강남구 삼성로 335,GS칼텍스,02-565-0267,N,2385,2195,2086,1650
27,서울특별시,대청주유소,서울 강남구 개포로 654 (일원동),SK에너지,02-445-5500,N,2489,2195,2086,1846
28,서울특별시,㈜새서울석유 새서울주유소,서울 강남구 압구정로 154,HD현대오일뱅크,02-543-1154,N,2397,2198,1998,-
29,서울특별시,SK논현주유소,서울 강남구 논현로 747 (논현동),SK에너지,02-511-0955,N,2561,2363,2198,1798
30,서울특별시,(주)제이제이네트웍스 제이제이주유소,서울 강남구 언주로 716,HD현대오일뱅크,02-518-5631,N,2780,2490,2380,-
31,서울특별시,(주)만정에너지 삼보주유소,서울 강남구 봉은사로 433 (삼성동),GS칼텍스,02-518-5141,N,2838,2598,2560,1850
0,서울특별시,(주)정건에너지직영,서울 노원구 노원로17길 29 (하계동),HD현대오일뱅크,02-975-1386,Y,1875,1615,1525,-
1,서울특별시,월계주유소,서울 노원구 월계로 252 (월계동),GS칼텍스,02-917-7650,Y,1889,1615,1525,-
2,서울특별시,이엠석유(주)배꽃나라주유소,서울 노원구 화랑로 466 (공릉1동),GS칼텍스,02-973-5172,Y,1925,1615,1515,-
3,서울특별시,삼육주유소,서울 노원구 화랑로 822 (공릉동),SK에너지,02-949-3677,Y,-,1625,1525,1500
4,서울특별시,화랑대주유소,서울 노원구 화랑로 483,HD현대오일뱅크,02-977-9697,Y,2070,1625,1525,1600
5,서울특별시,성북역주유소,서울 노원구 광운로 95 (월계동),GS칼텍스,02-919-8141,N,1958,1628,1528,-
6,서울특별시,태릉솔밭주유소,서울 노원구 노원로 49 (공릉동),S-OIL,02-976-5189,Y,1935,1635,1545,-
7,서울특별시,구도일주유소 불암,서울 노원구 한글비석로 268 (중계동),S-OIL,02-932-6850,Y,-,1638,1545,-
8,서울특별시,한신주유소,서울 노원구 동일로 1089 (공릉동),S-OIL,02-974-5151,Y,1930,1650,1560,1600
9,서울특별시,상계동주유소,서울 노원구 노원로26길 191 (상계동),HD현대오일뱅크,02-936-5035,N,-,1660,1575,1570
10,서울특별시,SK에너지㈜직영 상계주유소,서울 노원구 노해로 527 (상계동),SK에너지,02-930-5151,N,-,1669,1559,-
11,서울특별시,(주)소모 수락산셀프주유소,서울 노원구 동일로 1772,GS칼텍스,02-3392-5656,Y,-,1685,1585,1600
12,서울특별시,신성주유소,서울 노원구 월계로 328 (월계동),S-OIL,02-916-4334,Y,-,1688,1588,-
13,서울특별시,하계삼호주유소,서울 노원구 공릉로 294 (하계동),GS칼텍스,02-974-8818,N,-,1755,1695,-
0,서울특별시,(주)화동유업 화동주유소,서울 금천구 시흥대로 484,SK에너지,02-856-0283,Y,-,1597,1497,1500
1,서울특별시,(주)백운주유소,서울 금천구 시흥대로 282 (독산동),알뜰주유소,02-894-8521,Y,-,1598,1498,1500
2,서울특별시,구광주유소,서울 금천구 서부샛길 674 (가산동),S-OIL,02-868-6889,N,-,1615,1515,1450
3,서울특별시,HD현대오일뱅크㈜직영 금천현대셀프주유소,서울 금천구 독산로 147 (시흥동),HD현대오일뱅크,02-891-5189,Y,1829,1644,1539,-
4,서울특별시,남서울경복에너지,서울 금천구 독산로 257 (독산동),HD현대오일뱅크,02-855-9880,Y,-,1665,1565,1500
5,서울특별시,대득에너지(금천셀프주유소),서울 금천구  시흥대로 81 (시흥동),GS칼텍스,02-805-7888,Y,1815,1665,1565,-
6,서울특별시,SK에너지(주) 박미주유소,서울 금천구 시흥대로 39-7 (시흥동),SK에너지,02-802-6749,Y,1815,1665,1565,1500
7,서울특별시,백산주유소,서울특별시 금천구  시흥대로 174 (시흥동),S-OIL,02-807-3161,Y,-,1675,1565,-
8,서울특별시,SK에너지(주) 이가주유소,서울 금천구 시흥대로 441,SK에너지,02-861-2241,N,1819,1675,1565,1500
9,서울특별시,지에스칼텍스(주)일신주유소,서울 금천구 시흥대로 118,GS칼텍스,02-896-5145,Y,1885,1685,1585,1650
